City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
325,srednekolymsk,97,RU,1586486440,95,67.45,153.68,22.24,10.94
326,natal,20,BR,1586486440,94,-5.79,-35.21,78.8,3.36
327,coquimbo,95,CL,1586486440,77,-29.95,-71.34,60.8,3.36
328,geraldton,15,AU,1586486390,19,-28.77,114.6,96.8,12.75
329,mbekenyera,50,TZ,1586486441,87,-10.0,38.98,67.73,4.14
330,gadwal,0,IN,1586486169,47,16.23,77.8,85.8,6.42
331,mogadishu,3,SO,1586486441,70,2.04,45.34,82.99,4.94
332,ust-maya,82,RU,1586486441,81,60.42,134.53,35.55,2.42
333,kurtamysh,44,RU,1586486441,88,54.91,64.43,36.61,9.33
334,turukhansk,98,RU,1586486441,96,65.82,87.98,24.93,20.11
335,san cristobal,33,VE,1586486441,61,7.77,-72.22,68.65,1.86
336,lompoc,90,US,1586486441,76,34.64,-120.46,55.4,5.82
337,bayangol,0,RU,1586486441,25,50.7,103.47,52.16,1.61
338,sioux lookout,90,CA,1586486441,68,50.1,-91.92,28.4,11.41
339,nemuro,75,JP,1586486441,80,43.32,145.57,33.8,2.24
340,nara,75,JP,1586486441,37,34.69,135.8,59.0,9.17
341,sao filipe,0,CV,1586486442,71,14.9,-24.5,74.82,10.98
342,north platte,1,US,1586486231,32,41.12,-100.77,39.2,8.05
343,gamba,59,GA,1586486442,88,-2.65,10.0,79.65,6.69
344,yuksekova,90,TR,1586486442,93,37.57,44.29,41.0,4.7
345,sinnamary,100,GF,1586486442,85,5.38,-52.95,79.86,13.51
346,puerto narino,94,CO,1586486442,93,-3.77,-70.38,74.1,1.48
347,hualmay,78,PE,1586486442,80,-11.1,-77.61,72.03,6.53
348,eresos,0,GR,1586486442,58,39.17,25.93,55.4,8.05
349,matamoros,75,MX,1586486442,26,25.53,-103.25,84.2,23.04
350,ambon,40,ID,1586486157,79,-3.7,128.18,84.2,9.17
351,agadir,20,MA,1586486442,77,30.42,-9.6,64.4,3.36
352,rundu,0,NA,1586486443,77,-17.93,19.77,69.8,3.36
353,atar,0,MR,1586486443,16,20.52,-13.05,78.78,8.16
354,coihaique,100,CL,1586486443,81,-45.58,-72.07,53.6,8.05
355,chandler,20,US,1586486443,20,33.31,-111.84,71.01,5.82
356,ranong,96,TH,1586486443,74,9.97,98.63,87.8,2.39
357,lagunas,68,PE,1586486443,91,-5.23,-75.68,73.67,0.51
358,la orilla,2,MX,1586486443,74,17.98,-102.23,74.7,2.39
359,kushiro,40,JP,1586486443,69,42.98,144.37,35.6,4.7
360,penzance,98,GB,1586486443,93,50.12,-5.54,52.0,16.11
361,kundiawa,98,PG,1586486443,50,-6.02,144.97,69.26,1.34
362,alihe,42,CN,1586486443,30,50.57,123.72,52.56,7.47
363,calbuco,75,CL,1586486499,93,-41.77,-73.13,53.6,2.04
364,medea,40,DZ,1586486499,93,36.26,2.75,53.6,2.53
365,moron,0,AR,1586486459,87,-34.65,-58.62,62.6,3.36
366,mayo,1,US,1586486500,64,38.89,-76.51,52.0,18.34
367,gat,40,IL,1586486500,87,31.61,34.76,55.99,6.93
368,wenchi,2,GH,1586486500,81,7.74,-2.1,75.88,4.25
369,trelew,6,AR,1586486500,45,-43.25,-65.31,68.92,23.89
370,akureyri,100,IS,1586486500,79,65.68,-18.09,24.8,1.12
371,luau,72,AO,1586486500,71,-10.71,22.22,63.52,3.71
372,sulangan,16,PH,1586486500,70,11.14,123.72,83.64,8.52
373,ozubulu,99,NG,1586486500,86,5.96,6.85,77.61,4.59
374,hanyang,100,CN,1586486500,78,32.14,105.51,66.0,2.08
375,methoni,0,GR,1586486501,86,36.82,21.7,52.0,4.7
376,badhni kalan,74,IN,1586486501,31,30.68,75.28,79.65,7.05
377,megion,1,RU,1586486501,58,61.03,76.11,28.4,11.18
378,saint-raymond,75,CA,1586486259,86,45.47,-73.61,39.99,11.41
379,katsuura,75,JP,1586486501,53,35.13,140.3,61.0,17.22
380,ekibastuz,17,KZ,1586486501,62,51.67,75.37,39.15,9.89
381,beba,0,CU,1586486501,83,22.44,-79.73,77.0,3.36
382,tibati,99,CM,1586486501,67,6.47,12.63,68.77,1.32
383,yichun,3,CN,1586486501,36,47.7,128.9,51.35,6.93
384,rakiv lis,35,UA,1586486501,75,51.62,24.92,40.62,9.53
385,nova aurora,0,BR,1586486501,64,-22.87,-52.57,62.37,2.19
386,seguela,94,CI,1586486501,67,7.96,-6.67,74.75,4.76
387,cururupu,92,BR,1586486501,90,-1.83,-44.87,77.29,2.86
388,togur,42,RU,1586486502,87,58.36,82.83,32.65,8.75
389,jinchang,2,CN,1586486502,24,38.5,102.17,46.18,4.5
390,nishihara,20,JP,1586486502,60,26.18,127.76,73.4,11.41
391,zuwarah,1,LY,1586486502,53,32.93,12.08,60.15,12.71
392,belmonte,90,BR,1586486502,94,-15.86,-38.88,73.4,5.82
393,khorixas,74,NA,1586486502,36,-20.37,14.97,74.53,5.01
394,ucluelet,41,CA,1586486502,82,48.93,-125.55,52.0,1.01
395,merida,20,MX,1586486219,69,20.97,-89.62,82.99,11.41
396,fortuna,90,US,1586486502,76,40.6,-124.16,55.99,12.75
397,kashi,4,CN,1586486502,16,39.45,75.98,53.6,6.71
398,namatanai,84,PG,1586486502,75,-3.67,152.43,83.28,6.24
399,mehamn,99,NO,1586486503,88,71.04,27.85,25.81,19.62
400,melito di porto salvo,5,IT,1586486503,87,37.92,15.77,57.0,3.36
401,walvis bay,84,NA,1586486503,77,-22.96,14.51,62.6,2.24
402,marawi,20,PH,1586486503,42,8.0,124.29,85.87,4.32
403,north myrtle beach,1,US,1586486503,44,33.82,-78.68,77.0,10.29
404,brawley,90,US,1586486503,37,32.98,-115.53,66.2,5.82
405,labelle,40,US,1586486503,94,26.76,-81.44,78.8,4.7
406,henties bay,40,NA,1586486503,90,-22.12,14.28,61.0,1.5
407,vestmannaeyjar,100,IS,1586486503,70,63.44,-20.27,40.42,13.22
408,kirakira,21,SB,1586486503,72,-10.45,161.92,84.22,7.34
409,isangel,94,VU,1586486559,64,-19.55,169.27,77.77,14.7
410,bushehr,90,IR,1586486559,36,28.97,50.84,80.6,11.41
411,katangli,100,RU,1586486560,95,51.71,143.23,28.9,16.31
412,san andres,40,CO,1586486403,74,12.58,-81.7,82.4,8.05
413,saint-francois,0,FR,1586486560,80,46.42,3.91,41.0,2.24
414,balabac,21,PH,1586486560,64,7.99,117.06,86.22,11.01
415,provideniya,60,RU,1586486560,72,64.38,-173.3,15.8,13.42
416,achinsk,100,RU,1586486560,75,56.27,90.5,34.79,4.81
417,san juan,0,AR,1586486415,39,-31.54,-68.54,67.08,4.34
418,vulcan,0,RO,1586486560,46,45.38,23.27,42.94,0.56
419,labuan,75,MY,1586486412,70,5.28,115.24,87.8,3.36
420,iracoubo,100,GF,1586486560,86,5.48,-53.2,79.39,12.26
421,nampula,75,MZ,1586486560,88,-15.12,39.27,73.4,10.29
422,praia da vitoria,40,PT,1586486560,93,38.73,-27.07,57.2,7.43
423,atherton,100,GB,1586486560,87,53.52,-2.49,51.01,5.82
424,concordia,0,AR,1586486560,89,-31.39,-58.02,52.0,5.03
425,washington,1,US,1586486519,21,47.5,-120.5,71.6,5.82
426,skopje,0,MK,1586486346,48,42.0,21.43,37.4,4.68
427,ragay,11,PH,1586486561,50,13.82,122.79,88.05,5.5
428,abha,36,SA,1586486270,59,18.22,42.51,64.4,9.17
429,laguna,75,US,1586486561,59,38.42,-121.42,62.6,6.93
430,sibolga,100,ID,1586486561,66,1.74,98.78,84.25,1.25
431,bathsheba,40,BB,1586486561,78,13.22,-59.52,78.8,10.29
432,honiara,20,SB,1586486561,70,-9.43,159.95,89.6,11.41
433,ust-kulom,100,RU,1586486561,92,61.69,53.69,36.0,7.11
434,sicuani,75,PE,1586486561,23,-14.27,-71.23,46.69,1.3
435,ternate,0,ID,1586486561,61,0.8,127.4,86.56,6.78
436,ikalamavony,42,MG,1586486562,67,-21.15,46.58,63.72,5.39
437,linjiang,0,CN,1586486562,34,41.81,126.91,52.66,4.21
438,birao,98,CF,1586486562,54,10.28,22.79,77.45,4.83
439,bilibino,93,RU,1586486562,80,68.05,166.44,1.92,1.86
440,palu,22,ID,1586486520,60,-0.89,119.87,87.96,3.31
441,swiebodzice,20,PL,1586486562,80,50.86,16.33,46.99,6.93
442,miandrivazo,72,MG,1586486562,70,-19.52,45.47,76.05,3.11
443,usinsk,99,RU,1586486562,98,65.99,57.53,30.45,14.88
444,maralal,100,KE,1586486562,53,1.1,36.7,58.91,4.83
445,tuatapere,6,NZ,1586486562,77,-46.13,167.68,59.0,14.0
446,kanuma,40,JP,1586486562,35,36.55,139.73,52.0,10.29
447,baykit,96,RU,1586486563,79,61.67,96.37,33.64,10.07
448,kerman,75,IR,1586486563,87,30.28,57.08,53.6,4.7
449,ermelo,14,ZA,1586486563,58,-26.53,29.98,47.19,4.14
450,smithers,20,CA,1586486563,49,54.78,-127.17,46.4,17.22
451,kruisfontein,99,ZA,1586486563,45,-34.0,24.73,62.71,7.34
452,paamiut,100,GL,1586486563,98,61.99,-49.67,29.79,6.53
453,maun,75,BW,1586486563,100,-19.98,23.42,66.2,12.75
454,katherine,75,AU,1586486619,65,-14.47,132.27,78.8,10.29
455,santa cruz,0,BO,1586486467,56,-17.8,-63.17,69.8,5.82
456,port said,40,EG,1586486496,87,31.26,32.28,57.2,11.41
